Cluster,GO biological process ,Classification,Goterm,Homo sapiens - REFLIST (20589),upload_1 (86),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR),ArbitraryNumberRank
Cluster-1,alpha-amino acid biosynthetic process ,Biosynthetic Process,GO:1901607,67,6,0.28,+,21.44,5.91E-07,3.71E-04,25
Cluster-1,cellular component assembly ,Biosynthetic Process,GO:0022607,2394,30,10,+,3,1.68E-08,1.89E-05,15
Cluster-1,cellular component biogenesis ,Biosynthetic Process,GO:0044085,2633,32,11,+,2.91,9.35E-09,1.33E-05,11
Cluster-1,cellular component organization ,Intracellular Process,GO:0016043,5523,49,23.07,+,2.12,5.04E-09,1.13E-05,7
Cluster-1,cellular component organization or biogenesis ,Intracellular Process,GO:0071840,5727,51,23.92,+,2.13,1.44E-09,5.65E-06,3
Cluster-1,cellular process ,Intracellular Process,GO:0009987,15044,83,62.84,+,1.32,2.40E-08,2.35E-05,17
Cluster-1,protein-containing complex assembly ,Intracellular Process,GO:0065003,1270,24,5.3,+,4.52,3.07E-10,4.81E-06,2
Cluster-1,protein-containing complex organization ,Intracellular Process,GO:0043933,1423,25,5.94,+,4.21,5.31E-10,4.16E-06,1
Cluster-1,cellular amino acid metabolic process ,Metabolic Process,GO:0006520,283,11,1.18,+,9.31,3.79E-08,3.30E-05,18
Cluster-1,cellular aromatic compound metabolic process ,Metabolic Process,GO:0006725,3050,36,12.74,+,2.83,1.43E-09,7.47E-06,4
Cluster-1,cellular metabolic process ,Metabolic Process,GO:0044237,6606,54,27.59,+,1.96,8.18E-09,1.28E-05,9
Cluster-1,cellular nitrogen compound metabolic process ,Metabolic Process,GO:0034641,3573,38,14.92,+,2.55,7.31E-09,1.27E-05,8
Cluster-1,heterocycle metabolic process ,Metabolic Process,GO:0046483,2999,35,12.53,+,2.79,3.74E-09,9.76E-06,5
Cluster-1,nitrogen compound metabolic process ,Metabolic Process,GO:0006807,6710,53,28.03,+,1.89,4.54E-08,3.74E-05,19
Cluster-1,nucleobase-containing compound metabolic process ,Metabolic Process,GO:0006139,2825,34,11.8,+,2.88,3.21E-09,1.01E-05,6
Cluster-1,organic cyclic compound metabolic process ,Metabolic Process,GO:1901360,3292,36,13.75,+,2.62,1.13E-08,1.36E-05,13
Cluster-1,"mRNA splicing, via spliceosome ",Gene Expression,GO:0000398,243,10,1.02,+,9.85,9.87E-08,7.37E-05,22
Cluster-1,nucleic acid metabolic process ,Metabolic Process,GO:0090304,2276,28,9.51,+,2.95,9.08E-08,7.12E-05,21
Cluster-1,ribonucleoprotein complex assembly ,Gene Expression,GO:0022618,201,10,0.84,+,11.91,1.78E-08,1.87E-05,14
Cluster-1,ribonucleoprotein complex biogenesis ,Gene Expression,GO:0022613,449,14,1.88,+,7.46,6.84E-09,1.34E-05,12
Cluster-1,ribonucleoprotein complex subunit organization ,Gene Expression,GO:0071826,209,10,0.87,+,11.45,2.54E-08,2.34E-05,16
Cluster-1,RNA metabolic process ,Gene Expression,GO:0016070,1635,23,6.83,+,3.37,1.81E-07,1.23E-04,23
Cluster-1,RNA splicing ,Gene Expression,GO:0008380,368,11,1.54,+,7.16,4.86E-07,3.18E-04,24
Cluster-1,"RNA splicing, via transesterification reactions ",Gene Expression,GO:0000375,247,11,1.03,+,10.66,9.89E-09,1.29E-05,10
Cluster-1,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile ",Gene Expression,GO:0000377,243,10,1.02,+,9.85,9.87E-08,7.04E-05,20
Cluster-10,biological process involved in interspecies interaction between organisms ,Biologic Process,GO:0044419,1602,10,2.18,+,4.59,2.94E-05,1.92E-02,24
Cluster-10,cell chemotaxis ,Cell Motility,GO:0060326,211,5,0.29,+,17.42,9.73E-06,8.98E-03,17
Cluster-10,locomotion ,Cell Motility,GO:0040011,539,7,0.73,+,9.55,6.42E-06,6.71E-03,15
Cluster-10,chromatin remodeling ,Gene Expression,GO:0006338,323,6,0.44,+,13.66,4.42E-06,5.78E-03,13
Cluster-10,chromosome condensation ,Gene Expression,GO:0030261,43,3,0.06,+,51.3,3.27E-05,2.05E-02,25
Cluster-10,defense response ,Immune Function,GO:0006952,1478,11,2.01,+,5.47,1.83E-06,4.10E-03,11
Cluster-10,defense response to other organism ,Immune Function,GO:0098542,1068,10,1.45,+,6.89,8.10E-07,2.54E-03,4
Cluster-10,granulocyte activation ,Immune Function,GO:0036230,33,3,0.04,+,66.85,1.55E-05,1.22E-02,21
Cluster-10,immune response ,Immune Function,GO:0006955,1621,11,2.2,+,4.99,4.48E-06,5.41E-03,12
Cluster-10,immune system process ,Immune Function,GO:0002376,2429,13,3.3,+,3.94,5.82E-06,6.52E-03,14
